id,title,platform,url,skills,domain,difficulty,duration_hours,rating,reviews_count,price,instructor,description
1,React - The Complete Guide (incl Hooks Redux Router),Udemy,https://www.udemy.com/course/react-the-complete-guide,React;JavaScript;Redux;React Router;Hooks,web-development,beginner,48,4.7,180000,Maximilian Schwarzmuller,Dive in and learn React.js from scratch! Learn Reactjs Hooks Redux React Routing and more
2,The Complete JavaScript Course 2024,Udemy,https://www.udemy.com/course/the-complete-javascript-course,JavaScript;ES6;DOM;OOP;Async JavaScript,web-development,beginner,69,4.7,190000,Jonas Schmedtmann,The modern JavaScript course for everyone! Master JavaScript with projects and challenges
3,Python for Everybody Specialization,Coursera,https://www.coursera.org/specializations/python,Python;Data Structures;Web Scraping;Databases,data-science,beginner,80,4.8,500000,Charles Severance,Learn to Program and Analyze Data with Python
4,Machine Learning by Andrew Ng,Coursera,https://www.coursera.org/learn/machine-learning,Machine Learning;Linear Regression;Neural Networks;SVM,data-science,intermediate,60,4.9,450000,Andrew Ng,Stanford University's legendary ML course - Learn foundational AI concepts
5,Deep Learning Specialization,Coursera,https://www.coursera.org/specializations/deep-learning,Deep Learning;Neural Networks;TensorFlow;CNN;RNN,data-science,advanced,120,4.9,280000,Andrew Ng,Become a Deep Learning expert with 5 courses from deeplearning.ai
6,AWS Certified Solutions Architect,Udemy,https://www.udemy.com/course/aws-certified-solutions-architect,AWS;Cloud Computing;EC2;S3;VPC;IAM,cloud-computing,intermediate,45,4.7,200000,Stephane Maarek,Pass the AWS Certified Solutions Architect Associate certification
7,Node.js The Complete Guide,Udemy,https://www.udemy.com/course/nodejs-the-complete-guide,Node.js;Express;MongoDB;REST API;GraphQL,web-development,intermediate,40,4.7,150000,Maximilian Schwarzmuller,Master Node.js by building a real-world RESTful API and web application
8,Data Science and Machine Learning Bootcamp,Udemy,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp,Python;Pandas;NumPy;Matplotlib;Scikit-Learn,data-science,intermediate,25,4.6,120000,Jose Portilla,Learn how to use NumPy Pandas Seaborn Matplotlib and Scikit-Learn
9,Full Stack Web Development with React,Coursera,https://www.coursera.org/specializations/full-stack-react,React;Node.js;MongoDB;Express;Bootstrap,web-development,intermediate,100,4.5,80000,Jogesh Muppala,Master front-end web UI frameworks and hybrid mobile app development
10,Google Cloud Platform Fundamentals,Coursera,https://www.coursera.org/learn/gcp-fundamentals,GCP;Cloud Computing;BigQuery;Kubernetes,cloud-computing,beginner,15,4.6,90000,Google Cloud,Explore Google Cloud Platform core infrastructure services
11,TensorFlow Developer Certificate,Coursera,https://www.coursera.org/professional-certificates/tensorflow-in-practice,TensorFlow;Deep Learning;Computer Vision;NLP,data-science,advanced,80,4.8,60000,Laurence Moroney,Become a TensorFlow certified developer
12,Docker and Kubernetes Complete Guide,Udemy,https://www.udemy.com/course/docker-and-kubernetes,Docker;Kubernetes;DevOps;Containerization,cloud-computing,intermediate,22,4.7,85000,Stephen Grider,Build deploy and scale Docker and Kubernetes applications
13,Angular - The Complete Guide,Udemy,https://www.udemy.com/course/the-complete-guide-to-angular,Angular;TypeScript;RxJS;NgRx,web-development,intermediate,35,4.6,170000,Maximilian Schwarzmuller,Master Angular 17 and build awesome reactive web apps
14,SQL for Data Science,Coursera,https://www.coursera.org/learn/sql-for-data-science,SQL;Database;Data Analysis;SQLite,data-science,beginner,20,4.6,150000,Sadie St Lawrence,Learn SQL basics for querying databases and data analysis
15,Cyber Security Fundamentals,Coursera,https://www.coursera.org/specializations/cyber-security,Cybersecurity;Network Security;Cryptography;Risk Management,cybersecurity,beginner,60,4.5,70000,IBM,Start your cybersecurity career with this professional certificate
16,Python Crash Course,YouTube,https://www.youtube.com/watch?v=rfscVS0vtbw,Python;Programming Basics;Automation,data-science,beginner,4,4.8,2000000,FreeCodeCamp,Learn Python - Full Course for Beginners
17,React Tutorial for Beginners,YouTube,https://www.youtube.com/watch?v=Ke90Tje7VS0,React;JavaScript;Web Development,web-development,beginner,4,4.7,1500000,Programming with Mosh,React JS Tutorial for Beginners - Full Course
18,Machine Learning Full Course,YouTube,https://www.youtube.com/watch?v=GwIo3gDZCVQ,Machine Learning;Python;Algorithms,data-science,intermediate,10,4.6,800000,Edureka,Machine Learning Full Course - Learn ML in 10 Hours
19,DevOps Tutorial for Beginners,YouTube,https://www.youtube.com/watch?v=hQcFE0RD0cQ,DevOps;CI/CD;Jenkins;Git,cloud-computing,beginner,3,4.5,600000,Simplilearn,DevOps Tutorial - DevOps for Beginners
20,Data Structures and Algorithms,Udemy,https://www.udemy.com/course/master-the-coding-interview,Data Structures;Algorithms;Problem Solving;Big O,software-engineering,intermediate,20,4.7,90000,Andrei Neagoie,Master the Coding Interview - Data Structures + Algorithms
21,Flutter Development Bootcamp,Udemy,https://www.udemy.com/course/flutter-bootcamp-with-dart,Flutter;Dart;Mobile Development;iOS;Android,mobile-development,beginner,30,4.7,120000,Angela Yu,The Complete Flutter Development Bootcamp with Dart
22,iOS & Swift Complete App Development,Udemy,https://www.udemy.com/course/ios-13-app-development-bootcamp,Swift;iOS;Xcode;UIKit;SwiftUI,mobile-development,beginner,60,4.7,100000,Angela Yu,From Beginner to iOS App Developer with Just One Course
23,Android Development with Kotlin,Udemy,https://www.udemy.com/course/android-kotlin-developer,Kotlin;Android;Jetpack Compose;Firebase,mobile-development,intermediate,40,4.6,80000,Paulo Dichone,Complete Android 14 Developer Course with Kotlin
24,Natural Language Processing,Coursera,https://www.coursera.org/specializations/natural-language-processing,NLP;Python;BERT;Transformers;Attention,data-science,advanced,80,4.7,50000,DeepLearning.AI,Master cutting-edge NLP techniques through four hands-on courses
25,Computer Vision Specialization,Coursera,https://www.coursera.org/specializations/computer-vision,Computer Vision;OpenCV;Image Processing;CNN,data-science,advanced,60,4.6,40000,University at Buffalo,Master computer vision and image processing fundamentals
26,Ethical Hacking for Beginners,Udemy,https://www.udemy.com/course/learn-ethical-hacking-from-scratch,Ethical Hacking;Penetration Testing;Kali Linux;Network Security,cybersecurity,intermediate,25,4.6,150000,Zaid Sabih,Learn to hack like a professional hacker and secure systems
27,Azure Administrator Certification,Udemy,https://www.udemy.com/course/70533-azure,Azure;Cloud Computing;Virtual Machines;Networking,cloud-computing,intermediate,20,4.6,60000,Scott Duffy,Prepare for the AZ-104 Azure Administrator certification
28,Vue.js Complete Guide,Udemy,https://www.udemy.com/course/vuejs-2-the-complete-guide,Vue.js;JavaScript;Vuex;Vue Router,web-development,intermediate,32,4.7,110000,Maximilian Schwarzmuller,Vue JS 3 - The Complete Guide with Router and Composition API
29,Git Complete Mastery,Udemy,https://www.udemy.com/course/git-complete,Git;GitHub;Version Control;Branching,software-engineering,beginner,6,4.6,90000,Jason Taylor,Git Complete - The definitive guide to Git and GitHub
30,Spring Boot and Microservices,Udemy,https://www.udemy.com/course/spring-boot-tutorial-for-beginners,Java;Spring Boot;Microservices;REST API,software-engineering,intermediate,28,4.6,70000,In28Minutes,Master Spring Boot and Microservices with practical examples
31,PostgreSQL Complete Guide,Udemy,https://www.udemy.com/course/sql-and-postgresql,PostgreSQL;SQL;Database Design;Joins,data-science,beginner,22,4.7,60000,Stephen Grider,SQL and PostgreSQL - The Complete Developer's Guide
